text,label,source,title
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,negative,TwitterFinancialNews,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,negative,TwitterFinancialNews,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2Re
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",negative,TwitterFinancialNews,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb"
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,negative,TwitterFinancialNews,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,negative,TwitterFinancialNews,$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,negative,TwitterFinancialNews,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilI
$GM - GM loses a bull https://t.co/tdUfG5HbXy,negative,TwitterFinancialNews,$GM - GM loses a bull https://t.co/tdUfG5HbXy
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,negative,TwitterFinancialNews,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS
$GTT: Cowen cuts to Market Perform,negative,TwitterFinancialNews,$GTT: Cowen cuts to Market Perform
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,negative,TwitterFinancialNews,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,negative,TwitterFinancialNews,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",negative,TwitterFinancialNews,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU"
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,negative,TwitterFinancialNews,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,negative,TwitterFinancialNews,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,negative,TwitterFinancialNews,$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,negative,TwitterFinancialNews,$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ
$MDCO: Oppenheimer cuts to Perform,negative,TwitterFinancialNews,$MDCO: Oppenheimer cuts to Perform
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,negative,TwitterFinancialNews,$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,negative,TwitterFinancialNews,$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,negative,TwitterFinancialNews,$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt
$NCBS: Hovde Group cuts to Market Perform,negative,TwitterFinancialNews,$NCBS: Hovde Group cuts to Market Perform
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,negative,TwitterFinancialNews,$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,negative,TwitterFinancialNews,$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,negative,TwitterFinancialNews,$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,negative,TwitterFinancialNews,$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX
