title,text,date,url,label,source,pr_no,company,category,label_id
"⚡️ Iman, the last Sumatran rhinoceros in Malaysia, has died at 25 after succumbing to cancer https:/","⚡️ Iman, the last Sumatran rhinoceros in Malaysia, has died at 25 after succumbing to cancer https://t.co/5D99IeWvcf",,,positive,TwitterFinancialNews,,,,2
Gold Price Forecast – Gold Markets Rally Into The Weekend,Gold Price Forecast – Gold Markets Rally Into The Weekend,,,neutral,TwitterFinancialNews,,,,1
IFF to Merge with DuPont’s Nutrition & Biosciences Business,IFF to Merge with DuPont’s Nutrition & Biosciences Business,,,positive,TwitterFinancialNews,,,,2
Bajaj Auto among 7 stocks hit 52-week highs; gains up to 15% in a month,"Benchmark Sensex fell 780 points to close at 84,180 on Thursday. Despite the broader market showing significant weakness, seven stocks from the BSE 500 index advanced to fresh 52-week highs, marking their strongest levels in a year. Such breakouts generally reflect robust bullish momentum and may point to further upside in the near term. New 52-week high: Rs 485.1| CMP: Rs 470.95. In the last one month stock has gained about 15%. New 52-week high: Rs 4170| CMP: Rs 4052.1. In the last one month stock has gained about 11%. New 52-week high: Rs 2340| CMP: Rs 2230.55. In the last one month stock has gained about 9%. New 52-week high: Rs 9883.3| CMP: Rs 9751.85. In the last one month stock has gained about 7%. New 52-week high: Rs 7947.35| CMP: Rs 7754.85. In the last one month stock has gained about 7%. New 52-week high: Rs 86.84| CMP: Rs 81.62. In the last one month stock has gained about 7%. New 52-week high: Rs 7595| CMP: Rs 7543.2. In the last one month stock has gained about 5%. Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Top Commodities Top Market Pages Latest News Follow us on: Log In/Connect with: Will be displayed Will not be displayed Will be displayed",2026-01-22,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-auto-among-7-stocks-hit-52-week-highs-gains-up-to-15-in-a-month/slideshow/126414363.cms,neutral,economictimes,,,,1
Hedge Funds Have Never Been This Bullish On Osisko Gold Royalties Ltd (OR),Hedge Funds Have Never Been This Bullish On Osisko Gold Royalties Ltd (OR),,,neutral,TwitterFinancialNews,,,,1
"Hedge Funds Are Betting On Argan, Inc. (NYSEAMEX:AGX)","Hedge Funds Are Betting On Argan, Inc. (NYSEAMEX:AGX)",,,neutral,TwitterFinancialNews,,,,1
"MNC stocks: For some, India is now more than a market. 6 MNC stocks, 5 with an upside potential of up to 32%","A few days back a news flash said that India may allow Chinese companies to bid for government contracts. The news hit all capital goods stocks, and some of the large MNCs were the top losers that day.Yes, given their valuations they can surely correct even more. But when it comes to MNC stocks, it is better not to paint them all with the same brush. There are some MNCs where the Indian operations are not only a domestic consumption story; they",2026-01-22,https://economictimes.indiatimes.com/markets/stocks/news/mnc-stocks-for-some-india-is-now-more-than-a-market-6-mnc-stocks-5-with-an-upside-potential-of-up-to-32/articleshow/126522396.cms,neutral,economictimes,,,,1
"""What we clearly see again is unelected central banks, having failed at their mandates, to pivot to ","""What we clearly see again is unelected central banks, having failed at their mandates, to pivot to politics to try… https://t.co/U4Ft0573Ro",,,positive,TwitterFinancialNews,,,,2
Shree Minerals : Golden Chimney Exploration Update #ShreeMinerals #Stock #MarketScreener https://t.c,Shree Minerals : Golden Chimney Exploration Update #ShreeMinerals #Stock #MarketScreener https://t.co/yzgeROuSyy https://t.co/6loiAtgU0u,,,positive,TwitterFinancialNews,,,,2
Firsthand Technology Value Fund and Itau CorpBanca among Financial gainers; Mmtec and Jupai among lo,Firsthand Technology Value Fund and Itau CorpBanca among Financial gainers; Mmtec and Jupai among losers,,,positive,TwitterFinancialNews,,,,2
